diagnosis_id,icd10_code,icd10_description,category,severity_level
1,I10,Essential (primary) hypertension,Cardiovascular,Mild
2,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Moderate
3,J45.909,"Unspecified asthma, uncomplicated",Respiratory,Moderate
4,M54.5,"Low back pain, unspecified",Musculoskeletal,Mild
5,J06.9,"Acute upper respiratory infection, unspecified",Respiratory,Mild
6,F41.1,Generalized anxiety disorder,Mental Health,Moderate
7,E78.5,"Hyperlipidemia, unspecified",Endocrine,Mild
8,K21.9,Gastro-esophageal reflux disease without esophagitis,Gastrointestinal,Mild
9,N39.0,"Urinary tract infection, site not specified",Urological,Moderate
10,I25.10,Atherosclerotic heart disease of native coronary artery,Cardiovascular,Severe
11,C34.90,Malignant neoplasm of unspecified part of bronchus or lung,Oncology,Critical
12,G40.909,"Epilepsy, unspecified, not intractable",Neurology,Severe
13,M17.11,"Unspecified primary osteoarthritis, right knee",Musculoskeletal,Moderate
14,R07.9,"Chest pain, unspecified",Cardiovascular,Severe
15,J18.9,"Pneumonia, unspecified organism",Respiratory,Severe
16,N39.0.16,"Urinary tract infection, site not specified (Variant #16)",Urological,Moderate
17,F41.1.17,Generalized anxiety disorder (Variant #17),Mental Health,Moderate
18,J45.909.18,"Unspecified asthma, uncomplicated (Variant #18)",Respiratory,Moderate
19,M17.11.19,"Unspecified primary osteoarthritis, right knee (Variant #19)",Musculoskeletal,Moderate
20,J18.9.20,"Pneumonia, unspecified organism (Variant #20)",Respiratory,Severe
21,E78.5.21,"Hyperlipidemia, unspecified (Variant #21)",Endocrine,Mild
22,G40.909.22,"Epilepsy, unspecified, not intractable (Variant #22)",Neurology,Severe
23,E11.9.23,Type 2 diabetes mellitus without complications (Variant #23),Endocrine,Moderate
24,E11.9.24,Type 2 diabetes mellitus without complications (Variant #24),Endocrine,Moderate
25,K21.9.25,Gastro-esophageal reflux disease without esophagitis (Variant #25),Gastrointestinal,Mild
26,G40.909.26,"Epilepsy, unspecified, not intractable (Variant #26)",Neurology,Severe
27,G40.909.27,"Epilepsy, unspecified, not intractable (Variant #27)",Neurology,Severe
28,F41.1.28,Generalized anxiety disorder (Variant #28),Mental Health,Moderate
29,J06.9.29,"Acute upper respiratory infection, unspecified (Variant #29)",Respiratory,Mild
30,E78.5.30,"Hyperlipidemia, unspecified (Variant #30)",Endocrine,Mild
31,J18.9.31,"Pneumonia, unspecified organism (Variant #31)",Respiratory,Severe
32,C34.90.32,Malignant neoplasm of unspecified part of bronchus or lung (Variant #32),Oncology,Critical
33,M17.11.33,"Unspecified primary osteoarthritis, right knee (Variant #33)",Musculoskeletal,Moderate
34,J45.909.34,"Unspecified asthma, uncomplicated (Variant #34)",Respiratory,Moderate
35,N39.0.35,"Urinary tract infection, site not specified (Variant #35)",Urological,Moderate
36,G40.909.36,"Epilepsy, unspecified, not intractable (Variant #36)",Neurology,Severe
37,I10.37,Essential (primary) hypertension (Variant #37),Cardiovascular,Mild
38,G40.909.38,"Epilepsy, unspecified, not intractable (Variant #38)",Neurology,Severe
39,M17.11.39,"Unspecified primary osteoarthritis, right knee (Variant #39)",Musculoskeletal,Moderate
40,G40.909.40,"Epilepsy, unspecified, not intractable (Variant #40)",Neurology,Severe
41,C34.90.41,Malignant neoplasm of unspecified part of bronchus or lung (Variant #41),Oncology,Critical
42,J06.9.42,"Acute upper respiratory infection, unspecified (Variant #42)",Respiratory,Mild
43,C34.90.43,Malignant neoplasm of unspecified part of bronchus or lung (Variant #43),Oncology,Critical
44,E11.9.44,Type 2 diabetes mellitus without complications (Variant #44),Endocrine,Moderate
45,I25.10.45,Atherosclerotic heart disease of native coronary artery (Variant #45),Cardiovascular,Severe
46,I25.10.46,Atherosclerotic heart disease of native coronary artery (Variant #46),Cardiovascular,Severe
47,E78.5.47,"Hyperlipidemia, unspecified (Variant #47)",Endocrine,Mild
48,N39.0.48,"Urinary tract infection, site not specified (Variant #48)",Urological,Moderate
49,C34.90.49,Malignant neoplasm of unspecified part of bronchus or lung (Variant #49),Oncology,Critical
50,F41.1.50,Generalized anxiety disorder (Variant #50),Mental Health,Moderate
51,F41.1.51,Generalized anxiety disorder (Variant #51),Mental Health,Moderate
52,J45.909.52,"Unspecified asthma, uncomplicated (Variant #52)",Respiratory,Moderate
53,J18.9.53,"Pneumonia, unspecified organism (Variant #53)",Respiratory,Severe
54,M17.11.54,"Unspecified primary osteoarthritis, right knee (Variant #54)",Musculoskeletal,Moderate
55,N39.0.55,"Urinary tract infection, site not specified (Variant #55)",Urological,Moderate
56,R07.9.56,"Chest pain, unspecified (Variant #56)",Cardiovascular,Severe
57,I10.57,Essential (primary) hypertension (Variant #57),Cardiovascular,Mild
58,M54.5.58,"Low back pain, unspecified (Variant #58)",Musculoskeletal,Mild
59,E11.9.59,Type 2 diabetes mellitus without complications (Variant #59),Endocrine,Moderate
60,N39.0.60,"Urinary tract infection, site not specified (Variant #60)",Urological,Moderate
61,E11.9.61,Type 2 diabetes mellitus without complications (Variant #61),Endocrine,Moderate
62,N39.0.62,"Urinary tract infection, site not specified (Variant #62)",Urological,Moderate
63,J45.909.63,"Unspecified asthma, uncomplicated (Variant #63)",Respiratory,Moderate
64,J06.9.64,"Acute upper respiratory infection, unspecified (Variant #64)",Respiratory,Mild
65,E11.9.65,Type 2 diabetes mellitus without complications (Variant #65),Endocrine,Moderate
66,R07.9.66,"Chest pain, unspecified (Variant #66)",Cardiovascular,Severe
67,C34.90.67,Malignant neoplasm of unspecified part of bronchus or lung (Variant #67),Oncology,Critical
68,E11.9.68,Type 2 diabetes mellitus without complications (Variant #68),Endocrine,Moderate
69,J18.9.69,"Pneumonia, unspecified organism (Variant #69)",Respiratory,Severe
70,N39.0.70,"Urinary tract infection, site not specified (Variant #70)",Urological,Moderate
71,J45.909.71,"Unspecified asthma, uncomplicated (Variant #71)",Respiratory,Moderate
72,M17.11.72,"Unspecified primary osteoarthritis, right knee (Variant #72)",Musculoskeletal,Moderate
73,J18.9.73,"Pneumonia, unspecified organism (Variant #73)",Respiratory,Severe
74,N39.0.74,"Urinary tract infection, site not specified (Variant #74)",Urological,Moderate
75,J18.9.75,"Pneumonia, unspecified organism (Variant #75)",Respiratory,Severe
76,E78.5.76,"Hyperlipidemia, unspecified (Variant #76)",Endocrine,Mild
77,G40.909.77,"Epilepsy, unspecified, not intractable (Variant #77)",Neurology,Severe
78,M54.5.78,"Low back pain, unspecified (Variant #78)",Musculoskeletal,Mild
79,J06.9.79,"Acute upper respiratory infection, unspecified (Variant #79)",Respiratory,Mild
80,R07.9.80,"Chest pain, unspecified (Variant #80)",Cardiovascular,Severe
81,I25.10.81,Atherosclerotic heart disease of native coronary artery (Variant #81),Cardiovascular,Severe
82,K21.9.82,Gastro-esophageal reflux disease without esophagitis (Variant #82),Gastrointestinal,Mild
83,E78.5.83,"Hyperlipidemia, unspecified (Variant #83)",Endocrine,Mild
84,R07.9.84,"Chest pain, unspecified (Variant #84)",Cardiovascular,Severe
85,K21.9.85,Gastro-esophageal reflux disease without esophagitis (Variant #85),Gastrointestinal,Mild
86,I25.10.86,Atherosclerotic heart disease of native coronary artery (Variant #86),Cardiovascular,Severe
87,C34.90.87,Malignant neoplasm of unspecified part of bronchus or lung (Variant #87),Oncology,Critical
88,J18.9.88,"Pneumonia, unspecified organism (Variant #88)",Respiratory,Severe
89,K21.9.89,Gastro-esophageal reflux disease without esophagitis (Variant #89),Gastrointestinal,Mild
90,M54.5.90,"Low back pain, unspecified (Variant #90)",Musculoskeletal,Mild
91,M17.11.91,"Unspecified primary osteoarthritis, right knee (Variant #91)",Musculoskeletal,Moderate
