facility_id,facility_name,facility_type,address,city,state,zip_code,bed_capacity
1,Seattle General Hospital #1,General Hospital,2910 Health Parkway,Seattle,WA,98101,596
2,Philadelphia Specialty Clinic #2,Specialty Clinic,1632 Health Parkway,Philadelphia,PA,19101,47
3,San Antonio Specialty Clinic #3,Specialty Clinic,3151 Health Parkway,San Antonio,TX,78201,308
4,Austin Diagnostic Center #4,Diagnostic Center,8043 Health Parkway,Austin,TX,78701,790
5,Philadelphia General Hospital #5,General Hospital,4931 Health Parkway,Philadelphia,PA,19101,427
6,Seattle Diagnostic Center #6,Diagnostic Center,4208 Health Parkway,Seattle,WA,98101,619
7,Houston Specialty Clinic #7,Specialty Clinic,5150 Health Parkway,Houston,TX,77001,42
8,Seattle Diagnostic Center #8,Diagnostic Center,8380 Health Parkway,Seattle,WA,98101,664
9,Houston General Hospital #9,General Hospital,1759 Health Parkway,Houston,TX,77001,21
10,San Jose Diagnostic Center #10,Diagnostic Center,4065 Health Parkway,San Jose,CA,95101,144
11,Dallas Urgent Care #11,Urgent Care,3068 Health Parkway,Dallas,TX,75201,333
12,San Jose Specialty Clinic #12,Specialty Clinic,3084 Health Parkway,San Jose,CA,95101,53
13,Austin General Hospital #13,General Hospital,9289 Health Parkway,Austin,TX,78701,344
14,Boston Specialty Clinic #14,Specialty Clinic,5077 Health Parkway,Boston,MA,02101,576
15,Denver Urgent Care #15,Urgent Care,5857 Health Parkway,Denver,CO,80201,242
16,San Diego Specialty Clinic #16,Specialty Clinic,789 Health Parkway,San Diego,CA,92101,18
17,Denver Specialty Clinic #17,Specialty Clinic,391 Health Parkway,Denver,CO,80201,595
18,Chicago General Hospital #18,General Hospital,9028 Health Parkway,Chicago,IL,60601,361
19,San Diego General Hospital #19,General Hospital,6043 Health Parkway,San Diego,CA,92101,720
20,San Diego Urgent Care #20,Urgent Care,2929 Health Parkway,San Diego,CA,92101,29
21,Houston Diagnostic Center #21,Diagnostic Center,6779 Health Parkway,Houston,TX,77001,643
22,Seattle General Hospital #22,General Hospital,244 Health Parkway,Seattle,WA,98101,33
23,Philadelphia General Hospital #23,General Hospital,978 Health Parkway,Philadelphia,PA,19101,678
24,Denver Urgent Care #24,Urgent Care,3152 Health Parkway,Denver,CO,80201,160
25,Chicago Urgent Care #25,Urgent Care,261 Health Parkway,Chicago,IL,60601,751
26,Philadelphia Specialty Clinic #26,Specialty Clinic,5443 Health Parkway,Philadelphia,PA,19101,546
27,Houston General Hospital #27,General Hospital,6063 Health Parkway,Houston,TX,77001,12
28,Boston Specialty Clinic #28,Specialty Clinic,8652 Health Parkway,Boston,MA,02101,607
29,San Diego General Hospital #29,General Hospital,7558 Health Parkway,San Diego,CA,92101,556
30,Chicago General Hospital #30,General Hospital,4218 Health Parkway,Chicago,IL,60601,763
31,San Diego General Hospital #31,General Hospital,5209 Health Parkway,San Diego,CA,92101,133
32,Philadelphia Specialty Clinic #32,Specialty Clinic,8886 Health Parkway,Philadelphia,PA,19101,289
33,San Diego General Hospital #33,General Hospital,1400 Health Parkway,San Diego,CA,92101,534
34,Denver Diagnostic Center #34,Diagnostic Center,9603 Health Parkway,Denver,CO,80201,135
35,New York Diagnostic Center #35,Diagnostic Center,4300 Health Parkway,New York,NY,10001,567
36,San Jose Urgent Care #36,Urgent Care,7136 Health Parkway,San Jose,CA,95101,140
37,Dallas Diagnostic Center #37,Diagnostic Center,9213 Health Parkway,Dallas,TX,75201,29
38,Seattle Diagnostic Center #38,Diagnostic Center,6456 Health Parkway,Seattle,WA,98101,292
39,Houston General Hospital #39,General Hospital,7762 Health Parkway,Houston,TX,77001,248
40,San Diego General Hospital #40,General Hospital,9361 Health Parkway,San Diego,CA,92101,63
41,Seattle Urgent Care #41,Urgent Care,652 Health Parkway,Seattle,WA,98101,143
42,Boston Urgent Care #42,Urgent Care,3907 Health Parkway,Boston,MA,02101,349
43,Philadelphia General Hospital #43,General Hospital,6450 Health Parkway,Philadelphia,PA,19101,197
44,New York Diagnostic Center #44,Diagnostic Center,3658 Health Parkway,New York,NY,10001,517
45,Jacksonville General Hospital #45,General Hospital,8943 Health Parkway,Jacksonville,FL,32201,142
46,Jacksonville General Hospital #46,General Hospital,9689 Health Parkway,Jacksonville,FL,32201,314
47,San Antonio Diagnostic Center #47,Diagnostic Center,9535 Health Parkway,San Antonio,TX,78201,63
48,Phoenix General Hospital #48,General Hospital,8764 Health Parkway,Phoenix,AZ,85001,701
49,Los Angeles General Hospital #49,General Hospital,9498 Health Parkway,Los Angeles,CA,90001,693
50,Houston Diagnostic Center #50,Diagnostic Center,248 Health Parkway,Houston,TX,77001,505
51,Phoenix Specialty Clinic #51,Specialty Clinic,8155 Health Parkway,Phoenix,AZ,85001,623
52,Phoenix Urgent Care #52,Urgent Care,6444 Health Parkway,Phoenix,AZ,85001,236
53,Seattle Specialty Clinic #53,Specialty Clinic,8405 Health Parkway,Seattle,WA,98101,353
54,Dallas Urgent Care #54,Urgent Care,8082 Health Parkway,Dallas,TX,75201,292
55,Philadelphia Specialty Clinic #55,Specialty Clinic,1808 Health Parkway,Philadelphia,PA,19101,650
56,Los Angeles Urgent Care #56,Urgent Care,9129 Health Parkway,Los Angeles,CA,90001,672
57,Philadelphia Urgent Care #57,Urgent Care,2188 Health Parkway,Philadelphia,PA,19101,30
58,Phoenix Specialty Clinic #58,Specialty Clinic,3452 Health Parkway,Phoenix,AZ,85001,36
59,Jacksonville Urgent Care #59,Urgent Care,8051 Health Parkway,Jacksonville,FL,32201,484
