medication_id,ndc_code,drug_name,generic_name,dosage_form,strength,manufacturer
1,32000-493-01,Amoxicillin,Amoxicillin,Capsule,500mg,Teva
2,42975-313-02,Lysinopril,Lisinopril,Tablet,10mg,Sandoz
3,74567-589-03,Metformin,Metformin HCl,Tablet,850mg,Mylan
4,94678-180-04,Atorvastatin,Atorvastatin Calcium,Tablet,20mg,Pfizer
5,36345-136-05,Albuterol,Albuterol Sulfate,Inhaler,90mcg,GSK
6,20830-228-06,Omeprazole,Omeprazole,Capsule,20mg,AstraZeneca
7,40849-919-07,Levothyroxine,Levothyroxine Sodium,Tablet,50mcg,AbbVie
8,82346-924-08,Gabapentin,Gabapentin,Capsule,300mg,Sun Pharma
9,84543-751-09,Amlodipine,Amlodipine Besylate,Tablet,5mg,Novartis
10,55878-645-10,Metoprolol,Metoprolol Succinate,Tablet,50mg,AstraZeneca
11,72921-381-11,Losartan,Losartan Potassium,Tablet,50mg,Merck
12,15242-260-12,Sertraline,Sertraline HCl,Tablet,50mg,Pfizer
13,83274-744-13,Hydrochlorothiazide,Hydrochlorothiazide,Tablet,25mg,Lupin
14,60815-121-14,Ibuprofen,Ibuprofen,Tablet,800mg,McNeil
15,97408-185-15,Azithromycin,Azithromycin,Tablet,250mg,Pfizer
16,38088-274-16,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
17,27592-772-17,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
18,91010-541-18,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
19,39565-502-19,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
20,89666-489-20,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
21,17264-827-21,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
22,61530-489-22,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
23,65917-590-23,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
24,93179-539-24,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
25,15379-774-25,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
26,23762-920-26,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
27,10581-526-27,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
28,54201-211-28,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
29,38556-394-29,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
30,15690-274-30,Sertraline Plus,Sertraline HCl,Tablet,50mg,Pfizer
31,10736-646-31,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
32,26828-694-32,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
33,60998-282-33,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
34,56689-487-34,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
35,37118-524-35,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
36,95229-922-36,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
37,11284-157-37,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
38,33213-284-38,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
39,57019-316-39,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
40,54357-611-40,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
41,44447-347-41,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
42,78978-921-42,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
43,51572-876-43,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
