location_id,location_name,location_type,region,city,state,postal_code,square_feet,opened_date
1,Store #0001 - Miami,Store,West,Miami,FL,33101,53372,2020-06-27
2,Store #0002 - Philadelphia,Store,East,Philadelphia,PA,19101,15230,2022-12-02
3,Store #0003 - El Paso,Store,South,El Paso,TX,79901,99727,2016-11-27
4,Store #0004 - Louisville,Store,West,Louisville,KY,40201,38533,2020-04-22
5,Store #0005 - Kansas City,Store,South,Kansas City,MO,64101,118354,2017-02-17
6,Store #0006 - Chicago,Store,East,Chicago,IL,60601,25862,2022-06-08
7,Store #0007 - Boston,Store,West,Boston,MA,02101,42854,2016-07-27
8,Store #0008 - Las Vegas,Store,Midwest,Las Vegas,NV,89101,31562,2015-04-27
9,Store #0009 - Atlanta,Store,North,Atlanta,GA,30301,26400,2022-02-21
10,Store #0010 - San Diego,Store,North,San Diego,CA,92101,62537,2013-12-27
11,Store #0011 - Columbus,Store,South,Columbus,OH,43201,73753,2016-02-01
12,Store #0012 - Boston,Store,East,Boston,MA,02101,41586,2016-05-07
13,Store #0013 - Portland,Store,North,Portland,OR,97201,75076,2015-09-13
14,Store #0014 - El Paso,Store,North,El Paso,TX,79901,21508,2015-09-02
15,Store #0015 - Charlotte,Store,North,Charlotte,NC,28201,44801,2017-05-21
16,Store #0016 - San Jose,Store,South,San Jose,CA,95101,35810,2015-03-23
17,Store #0017 - Phoenix,Store,East,Phoenix,AZ,85001,62193,2017-11-26
18,Store #0018 - Dallas,Store,West,Dallas,TX,75201,46358,2015-01-14
19,Store #0019 - Memphis,Store,Midwest,Memphis,TN,38101,46045,2016-07-01
20,Store #0020 - Memphis,Store,East,Memphis,TN,38101,29502,2022-02-12
21,Store #0021 - San Antonio,Store,North,San Antonio,TX,78201,54066,2019-07-14
22,Store #0022 - Baltimore,Store,North,Baltimore,MD,21201,57161,2017-05-12
23,Store #0023 - Fort Worth,Store,East,Fort Worth,TX,76101,87446,2017-05-11
24,Store #0024 - Tucson,Store,East,Tucson,AZ,85701,64775,2014-08-31
25,Store #0025 - Dallas,Store,South,Dallas,TX,75201,66101,2020-07-20
26,Store #0026 - San Diego,Store,East,San Diego,CA,92101,104107,2015-10-31
27,Store #0027 - Boston,Store,West,Boston,MA,02101,70510,2019-01-31
28,Store #0028 - Jacksonville,Store,South,Jacksonville,FL,32201,64252,2019-05-17
29,Store #0029 - Atlanta,Store,Midwest,Atlanta,GA,30301,19855,2023-02-18
30,Store #0030 - Los Angeles,Store,South,Los Angeles,CA,90001,29781,2020-09-05
31,Store #0031 - Milwaukee,Store,East,Milwaukee,WI,53201,8571,2022-04-10
32,Store #0032 - Kansas City,Store,West,Kansas City,MO,64101,111598,2015-02-23
33,Store #0033 - Los Angeles,Store,West,Los Angeles,CA,90001,41843,2019-11-19
34,Store #0034 - Fresno,Store,West,Fresno,CA,93701,41106,2019-07-28
35,Store #0035 - Houston,Store,North,Houston,TX,77001,76907,2018-02-11
36,Store #0036 - Louisville,Store,East,Louisville,KY,40201,110534,2014-12-22
37,Store #0037 - Atlanta,Store,South,Atlanta,GA,30301,115895,2021-11-05
38,Store #0038 - Portland,Store,East,Portland,OR,97201,77091,2019-11-12
39,Store #0039 - Louisville,Store,East,Louisville,KY,40201,55905,2022-03-13
40,Store #0040 - Mesa,Store,North,Mesa,AZ,85201,11282,2017-12-09
41,Store #0041 - San Jose,Store,South,San Jose,CA,95101,104492,2017-08-25
42,Store #0042 - Nashville,Store,Midwest,Nashville,TN,37201,33065,2015-05-25
43,Store #0043 - San Jose,Store,North,San Jose,CA,95101,112331,2020-02-09
44,Store #0044 - San Jose,Store,West,San Jose,CA,95101,35771,2019-07-25
45,Store #0045 - Dallas,Store,North,Dallas,TX,75201,46631,2016-01-15
46,Store #0046 - Austin,Store,North,Austin,TX,78701,59295,2015-05-24
47,Store #0047 - Phoenix,Store,West,Phoenix,AZ,85001,72117,2020-05-28
48,Store #0048 - Charlotte,Store,Midwest,Charlotte,NC,28201,64847,2014-12-26
49,Store #0049 - Baltimore,Store,East,Baltimore,MD,21201,100452,2016-04-05
50,Store #0050 - Nashville,Store,South,Nashville,TN,37201,101002,2020-04-14
51,Store #0051 - Mesa,Store,North,Mesa,AZ,85201,108066,2022-09-17
52,Store #0052 - Colorado Springs,Store,Midwest,Colorado Springs,CO,80901,74607,2021-01-24
53,Store #0053 - Boston,Store,East,Boston,MA,02101,104595,2016-08-30
54,Store #0054 - Denver,Store,West,Denver,CO,80201,57274,2018-02-04
55,Store #0055 - Charlotte,Store,South,Charlotte,NC,28201,12419,2022-10-11
56,Store #0056 - Atlanta,Store,South,Atlanta,GA,30301,111834,2019-02-22
57,Store #0057 - Portland,Store,West,Portland,OR,97201,46403,2022-10-20
58,Store #0058 - Omaha,Store,North,Omaha,NE,68101,18355,2017-09-18
59,Store #0059 - Milwaukee,Store,East,Milwaukee,WI,53201,22011,2016-10-29
60,Store #0060 - Oklahoma City,Store,Midwest,Oklahoma City,OK,73101,26093,2021-09-10
61,Store #0061 - Albuquerque,Store,South,Albuquerque,NM,87101,33686,2023-05-13
62,Store #0062 - Oklahoma City,Store,South,Oklahoma City,OK,73101,115985,2020-07-30
63,Store #0063 - Portland,Store,Midwest,Portland,OR,97201,66776,2020-12-12
64,Store #0064 - San Diego,Store,East,San Diego,CA,92101,77989,2021-12-08
65,Store #0065 - San Diego,Store,East,San Diego,CA,92101,109600,2014-07-22
66,Store #0066 - Louisville,Store,North,Louisville,KY,40201,23899,2017-11-15
67,Store #0067 - Indianapolis,Store,West,Indianapolis,IN,46201,61816,2023-04-25
68,Store #0068 - Baltimore,Store,East,Baltimore,MD,21201,74773,2016-10-12
69,Store #0069 - Philadelphia,Store,South,Philadelphia,PA,19101,102321,2020-03-15
70,Store #0070 - Los Angeles,Store,East,Los Angeles,CA,90001,73431,2017-06-24
71,Store #0071 - Denver,Store,Midwest,Denver,CO,80201,48198,2019-09-29
72,Store #0072 - Washington,Store,East,Washington,DC,20001,30766,2018-05-01
73,Store #0073 - Fresno,Store,East,Fresno,CA,93701,13914,2014-01-17
74,Store #0074 - Miami,Store,Midwest,Miami,FL,33101,77459,2017-08-18
75,Store #0075 - Jacksonville,Store,North,Jacksonville,FL,32201,53190,2019-10-26
76,Store #0076 - Denver,Store,South,Denver,CO,80201,16987,2014-02-01
77,Store #0077 - Fresno,Store,East,Fresno,CA,93701,99480,2014-01-22
78,Store #0078 - Kansas City,Store,West,Kansas City,MO,64101,64412,2017-12-11
79,Store #0079 - Austin,Store,West,Austin,TX,78701,78387,2019-04-19
80,Store #0080 - Las Vegas,Store,West,Las Vegas,NV,89101,107676,2023-02-18
81,Store #0081 - Austin,Store,North,Austin,TX,78701,25076,2021-03-08
82,Store #0082 - Baltimore,Store,East,Baltimore,MD,21201,62238,2021-04-21
83,Store #0083 - Indianapolis,Store,Midwest,Indianapolis,IN,46201,80419,2021-05-10
84,Store #0084 - Denver,Store,East,Denver,CO,80201,24216,2013-12-30
85,Store #0085 - San Jose,Store,Midwest,San Jose,CA,95101,37576,2016-03-28
86,Store #0086 - Kansas City,Store,West,Kansas City,MO,64101,26183,2023-02-17
87,Store #0087 - Kansas City,Store,North,Kansas City,MO,64101,93195,2015-06-09
88,Store #0088 - Dallas,Store,North,Dallas,TX,75201,30726,2020-04-07
89,Store #0089 - Boston,Store,Midwest,Boston,MA,02101,65647,2015-08-21
90,Store #0090 - Boston,Store,North,Boston,MA,02101,62744,2021-08-23
91,Store #0091 - Portland,Store,Midwest,Portland,OR,97201,69679,2016-05-14
92,Store #0092 - Las Vegas,Store,East,Las Vegas,NV,89101,32587,2019-07-16
93,Store #0093 - Dallas,Store,East,Dallas,TX,75201,100180,2022-12-07
94,Store #0094 - San Antonio,Store,Midwest,San Antonio,TX,78201,33318,2014-04-27
95,Store #0095 - Charlotte,Store,South,Charlotte,NC,28201,28378,2018-10-11
96,Store #0096 - Columbus,Store,West,Columbus,OH,43201,48999,2022-11-25
97,Store #0097 - Houston,Store,Midwest,Houston,TX,77001,60122,2017-06-07
98,Store #0098 - New York,Store,North,New York,NY,10001,118435,2015-03-28
99,Store #0099 - Detroit,Store,South,Detroit,MI,48201,57888,2017-08-20
100,Store #0100 - Portland,Store,West,Portland,OR,97201,22183,2021-11-15
101,Store #0101 - Portland,Store,Midwest,Portland,OR,97201,23588,2018-09-08
102,Store #0102 - Denver,Store,South,Denver,CO,80201,51558,2021-11-01
103,Store #0103 - Miami,Store,North,Miami,FL,33101,31017,2017-10-07
104,Store #0104 - Dallas,Store,North,Dallas,TX,75201,89385,2022-01-23
105,Store #0105 - Louisville,Store,North,Louisville,KY,40201,15115,2017-02-20
106,Store #0106 - New York,Store,South,New York,NY,10001,56671,2020-05-24
107,Store #0107 - San Francisco,Store,East,San Francisco,CA,94101,13030,2019-03-03
108,Store #0108 - Fresno,Store,South,Fresno,CA,93701,73374,2021-12-26
109,Store #0109 - Jacksonville,Store,West,Jacksonville,FL,32201,48670,2015-05-04
110,Store #0110 - Miami,Store,South,Miami,FL,33101,13090,2013-12-08
111,Store #0111 - Raleigh,Store,North,Raleigh,NC,27601,92886,2015-11-21
112,Store #0112 - Baltimore,Store,North,Baltimore,MD,21201,12768,2022-05-22
113,Store #0113 - Denver,Store,Midwest,Denver,CO,80201,73610,2022-06-16
114,Store #0114 - Colorado Springs,Store,North,Colorado Springs,CO,80901,39290,2017-01-18
115,Store #0115 - Columbus,Store,Midwest,Columbus,OH,43201,83075,2015-06-26
116,Store #0116 - Milwaukee,Store,South,Milwaukee,WI,53201,99090,2017-11-20
117,Store #0117 - Las Vegas,Store,East,Las Vegas,NV,89101,54701,2018-02-01
118,Store #0118 - Louisville,Store,Midwest,Louisville,KY,40201,20922,2022-01-26
119,Store #0119 - Chicago,Store,Midwest,Chicago,IL,60601,44611,2021-08-18
120,Store #0120 - Columbus,Store,North,Columbus,OH,43201,109516,2016-01-31
121,Store #0121 - Seattle,Store,West,Seattle,WA,98101,27955,2019-10-23
122,Store #0122 - New York,Store,North,New York,NY,10001,30403,2022-12-20
123,Store #0123 - San Francisco,Store,South,San Francisco,CA,94101,86640,2021-10-13
124,Store #0124 - Sacramento,Store,East,Sacramento,CA,95801,7270,2013-09-26
125,Store #0125 - Mesa,Store,South,Mesa,AZ,85201,41791,2019-12-28
126,Store #0126 - Atlanta,Store,South,Atlanta,GA,30301,15946,2014-03-20
127,Store #0127 - Mesa,Store,North,Mesa,AZ,85201,60218,2019-10-22
128,Store #0128 - Seattle,Store,South,Seattle,WA,98101,72132,2021-01-15
