product_id,sku,product_name,category,subcategory,brand,unit_cost,unit_price,is_active
1,SKU-HOM-000001,Apex Bedding Model-002,Home & Kitchen,Bedding,Apex,55.79,89.36,1
2,SKU-GRO-000002,Titan Canned Goods Model-003,Grocery & Pantry,Canned Goods,Titan,340.94,465.72,1
3,SKU-SPO-000003,Velocity Water Sports Model-004,Sports & Outdoors,Water Sports,Velocity,216.9,536.72,1
4,SKU-TOY-000004,Velocity Educational Toys Model-005,Toys & Games,Educational Toys,Velocity,231.23,529.77,1
5,SKU-TOY-000005,Prism Puzzles Model-006,Toys & Games,Puzzles,Prism,146.47,199.48,1
6,SKU-SPO-000006,Aura Water Sports Model-007,Sports & Outdoors,Water Sports,Aura,430.88,561.33,1
7,SKU-TOY-000007,Lumina Puzzles Model-008,Toys & Games,Puzzles,Lumina,426.18,830.99,1
8,SKU-BEA-000008,Summit Cosmetics Model-009,Beauty & Care,Cosmetics,Summit,252.76,512.26,1
9,SKU-SPO-000009,Summit Water Sports Model-010,Sports & Outdoors,Water Sports,Summit,424.56,834.62,1
10,SKU-BEA-000010,Horizon Fragrances Model-011,Beauty & Care,Fragrances,Horizon,70.85,124.19,1
11,SKU-BEA-000011,Aura Skincare Model-012,Beauty & Care,Skincare,Aura,433.14,759.91,1
12,SKU-HOM-000012,Aura Furniture Model-013,Home & Kitchen,Furniture,Aura,411.4,682.1,1
13,SKU-BEA-000013,Sol Haircare Model-014,Beauty & Care,Haircare,Sol,330.69,416.46,1
14,SKU-HOM-000014,Zenith Decor Model-015,Home & Kitchen,Decor,Zenith,283.29,515.7,1
15,SKU-BEA-000015,Zenith Personal Care Model-016,Beauty & Care,Personal Care,Zenith,432.02,806.04,1
16,SKU-ELE-000016,Aura Smart Home Model-017,Electronics,Smart Home,Aura,167.83,264.98,1
17,SKU-BEA-000017,Sol Haircare Model-018,Beauty & Care,Haircare,Sol,343.87,497.8,1
18,SKU-ELE-000018,Velocity Smartphones Model-019,Electronics,Smartphones,Velocity,262.19,403.52,1
19,SKU-SPO-000019,Nova Camping & Hiking Model-020,Sports & Outdoors,Camping & Hiking,Nova,80.79,154.77,1
20,SKU-ELE-000020,Prism Laptops Model-021,Electronics,Laptops,Prism,160.5,291.22,1
21,SKU-HOM-000021,Echo Bedding Model-022,Home & Kitchen,Bedding,Echo,185.43,246.58,1
22,SKU-HOM-000022,Matrix Cookware Model-023,Home & Kitchen,Cookware,Matrix,363.32,541.73,1
23,SKU-BEA-000023,Prism Haircare Model-024,Beauty & Care,Haircare,Prism,106.61,193.67,1
24,SKU-TOY-000024,Prism Action Figures Model-025,Toys & Games,Action Figures,Prism,350.42,633,1
25,SKU-ELE-000025,Titan Audio & Headphones Model-026,Electronics,Audio & Headphones,Titan,357.31,863.42,1
26,SKU-BEA-000026,Lumina Personal Care Model-027,Beauty & Care,Personal Care,Lumina,309.57,403.56,1
27,SKU-BEA-000027,Vortex Fragrances Model-028,Beauty & Care,Fragrances,Vortex,288.28,633.91,1
28,SKU-APP-000028,Pulse Women's Clothing Model-029,Apparel,Women's Clothing,Pulse,262.72,374.25,1
29,SKU-SPO-000029,Pulse Cycling Model-030,Sports & Outdoors,Cycling,Pulse,160.25,260.65,1
30,SKU-TOY-000030,Apex Outdoor Toys Model-031,Toys & Games,Outdoor Toys,Apex,119.69,179.67,1
31,SKU-TOY-000031,Pulse Puzzles Model-032,Toys & Games,Puzzles,Pulse,202.14,482.18,1
32,SKU-HOM-000032,Titan Bedding Model-033,Home & Kitchen,Bedding,Titan,312.79,424.73,1
33,SKU-BEA-000033,Apex Personal Care Model-034,Beauty & Care,Personal Care,Apex,273.45,608.04,1
34,SKU-HOM-000034,Matrix Storage Model-035,Home & Kitchen,Storage,Matrix,390.35,645.47,0
35,SKU-ELE-000035,Prism Smartphones Model-036,Electronics,Smartphones,Prism,118.11,285.64,1
36,SKU-SPO-000036,Velocity Camping & Hiking Model-037,Sports & Outdoors,Camping & Hiking,Velocity,169.47,288.3,1
37,SKU-APP-000037,Velocity Footwear Model-038,Apparel,Footwear,Velocity,90.69,220.64,0
38,SKU-TOY-000038,Echo Board Games Model-039,Toys & Games,Board Games,Echo,165.7,296.26,1
39,SKU-GRO-000039,Summit Organic Foods Model-040,Grocery & Pantry,Organic Foods,Summit,169.53,238.12,1
40,SKU-SPO-000040,Vortex Team Sports Model-041,Sports & Outdoors,Team Sports,Vortex,32.26,65.44,1
41,SKU-SPO-000041,Lumina Camping & Hiking Model-042,Sports & Outdoors,Camping & Hiking,Lumina,254.46,476.65,1
42,SKU-BEA-000042,Velocity Haircare Model-043,Beauty & Care,Haircare,Velocity,301.22,457.11,1
43,SKU-SPO-000043,Summit Team Sports Model-044,Sports & Outdoors,Team Sports,Summit,127.77,293.29,1
44,SKU-HOM-000044,Prism Decor Model-045,Home & Kitchen,Decor,Prism,236.61,357.43,1
45,SKU-APP-000045,Pulse Footwear Model-046,Apparel,Footwear,Pulse,289.58,466.9,1
46,SKU-APP-000046,Nova Accessories Model-047,Apparel,Accessories,Nova,312.74,777.98,1
47,SKU-TOY-000047,Nova Outdoor Toys Model-048,Toys & Games,Outdoor Toys,Nova,313.23,683.54,1
48,SKU-TOY-000048,Echo Action Figures Model-049,Toys & Games,Action Figures,Echo,273.81,426.74,1
49,SKU-HOM-000049,Velocity Small Appliances Model-050,Home & Kitchen,Small Appliances,Velocity,237.75,441.21,1
50,SKU-AUT-000050,Aura Oils & Fluids Model-051,Automotive,Oils & Fluids,Aura,261.01,469.99,1
51,SKU-ELE-000051,Prism Laptops Model-052,Electronics,Laptops,Prism,369.08,657.7,1
52,SKU-BEA-000052,Prism Cosmetics Model-053,Beauty & Care,Cosmetics,Prism,200.71,490.66,1
53,SKU-HOM-000053,Matrix Cookware Model-054,Home & Kitchen,Cookware,Matrix,365.77,597.4,1
54,SKU-AUT-000054,Lumina Interior Accessories Model-055,Automotive,Interior Accessories,Lumina,276.95,681.69,1
55,SKU-BEA-000055,Summit Skincare Model-056,Beauty & Care,Skincare,Summit,427.63,540.76,1
56,SKU-ELE-000056,Matrix Laptops Model-057,Electronics,Laptops,Matrix,378.35,702.07,1
57,SKU-AUT-000057,Echo Interior Accessories Model-058,Automotive,Interior Accessories,Echo,351.78,570.42,1
58,SKU-TOY-000058,Vortex Educational Toys Model-059,Toys & Games,Educational Toys,Vortex,79.16,166.92,1
59,SKU-BEA-000059,Horizon Personal Care Model-060,Beauty & Care,Personal Care,Horizon,377.97,911.7,0
60,SKU-GRO-000060,Summit Breakfast Model-061,Grocery & Pantry,Breakfast,Summit,269.65,562.4,1
61,SKU-AUT-000061,Velocity Tools & Equipment Model-062,Automotive,Tools & Equipment,Velocity,414.64,854.28,1
62,SKU-TOY-000062,Prism Educational Toys Model-063,Toys & Games,Educational Toys,Prism,432.16,950.08,1
63,SKU-HOM-000063,Titan Cookware Model-064,Home & Kitchen,Cookware,Titan,211.93,306.16,1
64,SKU-AUT-000064,Sol Oils & Fluids Model-065,Automotive,Oils & Fluids,Sol,77.3,189.42,1
65,SKU-ELE-000065,Prism Smartphones Model-066,Electronics,Smartphones,Prism,223.53,346.12,1
66,SKU-APP-000066,Echo Men's Clothing Model-067,Apparel,Men's Clothing,Echo,213.37,327.69,1
67,SKU-APP-000067,Prism Women's Clothing Model-068,Apparel,Women's Clothing,Prism,12.01,24.96,1
68,SKU-AUT-000068,Velocity Tools & Equipment Model-069,Automotive,Tools & Equipment,Velocity,301.4,718.22,1
69,SKU-APP-000069,Horizon Men's Clothing Model-070,Apparel,Men's Clothing,Horizon,121.68,220.05,1
70,SKU-SPO-000070,Summit Fitness Gear Model-071,Sports & Outdoors,Fitness Gear,Summit,11.01,22.88,1
71,SKU-APP-000071,Titan Women's Clothing Model-072,Apparel,Women's Clothing,Titan,339.97,746.33,1
72,SKU-TOY-000072,Sol Board Games Model-073,Toys & Games,Board Games,Sol,136.92,307.54,1
73,SKU-APP-000073,Prism Women's Clothing Model-074,Apparel,Women's Clothing,Prism,174.74,423.89,1
74,SKU-AUT-000074,Vortex Tools & Equipment Model-075,Automotive,Tools & Equipment,Vortex,176.3,363.86,1
75,SKU-BEA-000075,Prism Skincare Model-076,Beauty & Care,Skincare,Prism,239.05,504.66,1
76,SKU-APP-000076,Nova Accessories Model-077,Apparel,Accessories,Nova,448.23,1074.43,1
77,SKU-BEA-000077,Vortex Haircare Model-078,Beauty & Care,Haircare,Vortex,204.45,288.72,1
78,SKU-ELE-000078,Lumina Smart Home Model-079,Electronics,Smart Home,Lumina,50.93,66.3,0
79,SKU-TOY-000079,Pulse Action Figures Model-080,Toys & Games,Action Figures,Pulse,262.01,643.68,1
80,SKU-AUT-000080,Velocity Interior Accessories Model-081,Automotive,Interior Accessories,Velocity,157.08,303.21,1
81,SKU-GRO-000081,Apex Organic Foods Model-082,Grocery & Pantry,Organic Foods,Apex,244.19,592.98,1
82,SKU-HOM-000082,Velocity Bedding Model-083,Home & Kitchen,Bedding,Velocity,150.76,354.89,1
83,SKU-SPO-000083,Echo Cycling Model-084,Sports & Outdoors,Cycling,Echo,208.08,477.91,1
84,SKU-ELE-000084,Lumina Audio & Headphones Model-085,Electronics,Audio & Headphones,Lumina,359,527.49,1
85,SKU-AUT-000085,Horizon Tools & Equipment Model-086,Automotive,Tools & Equipment,Horizon,412.55,999.23,1
86,SKU-AUT-000086,Sol Interior Accessories Model-087,Automotive,Interior Accessories,Sol,143.19,330.51,1
87,SKU-APP-000087,Prism Women's Clothing Model-088,Apparel,Women's Clothing,Prism,42.18,72.26,0
88,SKU-SPO-000088,Summit Team Sports Model-089,Sports & Outdoors,Team Sports,Summit,336.74,683.63,1
89,SKU-BEA-000089,Horizon Personal Care Model-090,Beauty & Care,Personal Care,Horizon,119.38,264.39,1
90,SKU-TOY-000090,Zenith Board Games Model-091,Toys & Games,Board Games,Zenith,371.66,652.55,1
91,SKU-ELE-000091,Apex Audio & Headphones Model-092,Electronics,Audio & Headphones,Apex,75.88,143.41,1
92,SKU-BEA-000092,Apex Fragrances Model-093,Beauty & Care,Fragrances,Apex,270.14,471.1,1
93,SKU-BEA-000093,Lumina Skincare Model-094,Beauty & Care,Skincare,Lumina,306.03,736.37,1
94,SKU-TOY-000094,Vortex Puzzles Model-095,Toys & Games,Puzzles,Vortex,430.94,861.16,1
95,SKU-BEA-000095,Nova Personal Care Model-096,Beauty & Care,Personal Care,Nova,406.33,538.74,1
