inventory_id,location_id,product_id,quantity_on_hand,reorder_point,reorder_quantity,last_restock_date
1,1050,7702,346,26,52,2026-07-12
2,194,7399,382,19,38,2026-07-17
3,981,2507,451,23,46,2026-07-15
4,819,1345,17,31,124,2026-07-31
5,537,4151,263,19,76,2026-08-12
6,376,6801,191,23,115,2026-07-22
7,669,9857,35,12,60,2026-07-23
8,1022,1294,58,22,44,2026-08-01
9,1,7447,243,14,28,2026-07-21
10,915,8438,277,29,58,2026-08-21
11,305,7160,441,25,75,2026-08-25
12,567,4801,26,11,22,2026-07-16
13,1013,6048,325,47,188,2026-07-20
14,482,8141,167,41,164,2026-07-11
15,228,4031,422,43,129,2026-07-22
16,853,5728,410,21,84,2026-08-26
17,331,7075,468,50,250,2026-07-06
18,1044,3914,336,26,78,2026-06-28
19,704,3094,178,36,108,2026-07-11
20,1201,4643,222,28,84,2026-07-05
21,1009,8597,195,47,94,2026-07-15
22,1177,2692,25,47,141,2026-08-09
23,658,7034,376,15,30,2026-07-23
24,596,7580,452,33,132,2026-07-18
25,84,7027,284,30,150,2026-07-26
26,670,2526,73,17,34,2026-07-19
27,721,6632,369,37,148,2026-06-29
28,131,6433,456,26,130,2026-08-11
29,809,5528,339,37,74,2026-07-02
30,591,5049,247,24,72,2026-07-01
31,503,7911,239,42,84,2026-07-10
32,36,683,284,38,114,2026-07-10
33,411,5242,55,40,160,2026-07-13
34,71,4759,163,33,165,2026-07-06
35,150,8116,372,21,84,2026-08-07
36,1114,1790,435,13,52,2026-08-27
37,812,3998,286,10,20,2026-08-02
38,1191,2166,52,24,48,2026-07-16
39,451,1115,19,48,96,2026-07-04
40,108,8230,485,36,108,2026-08-25
41,1052,4792,468,45,90,2026-08-16
42,882,4964,174,35,70,2026-07-15
43,1245,5143,82,21,63,2026-07-18
44,203,6689,382,32,96,2026-08-24
45,1230,313,199,32,128,2026-08-06
46,575,9395,316,14,28,2026-07-18
47,603,9466,347,45,135,2026-07-05
48,220,6501,399,17,68,2026-08-15
49,427,9833,278,42,210,2026-07-20
50,541,1119,25,12,36,2026-08-24
51,269,564,439,16,64,2026-08-21
52,438,7926,13,25,50,2026-07-11
53,667,5099,436,17,68,2026-07-20
54,1143,4298,120,33,66,2026-08-20
55,154,9691,309,36,180,2026-07-30
56,298,5684,388,22,44,2026-07-07
57,1109,2343,192,46,230,2026-07-07
58,154,2089,118,20,80,2026-07-30
59,743,9764,334,48,192,2026-08-20
60,141,3677,443,11,55,2026-08-03
61,991,3725,304,25,50,2026-08-07
62,1103,4564,183,50,250,2026-08-17
63,747,1251,162,19,76,2026-07-20
64,109,2575,410,10,30,2026-06-29
65,1122,5656,471,42,84,2026-07-01
66,755,2463,102,14,28,2026-07-09
67,1042,9130,494,22,88,2026-07-21
68,313,12,111,29,58,2026-07-01
69,90,1081,237,23,92,2026-08-18
70,1144,9532,232,30,120,2026-07-12
71,705,7680,79,39,195,2026-08-04
72,925,6644,459,28,112,2026-07-12
73,817,2292,135,32,96,2026-07-05
74,1061,8814,430,41,164,2026-07-20
