diagnosis_id,icd10_code,icd10_description,category,severity_level
1,I10,Essential (primary) hypertension,Cardiovascular,Mild
2,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Moderate
3,J45.909,"Unspecified asthma, uncomplicated",Respiratory,Moderate
4,M54.5,"Low back pain, unspecified",Musculoskeletal,Mild
5,J06.9,"Acute upper respiratory infection, unspecified",Respiratory,Mild
6,F41.1,Generalized anxiety disorder,Mental Health,Moderate
7,E78.5,"Hyperlipidemia, unspecified",Endocrine,Mild
8,K21.9,Gastro-esophageal reflux disease without esophagitis,Gastrointestinal,Mild
9,N39.0,"Urinary tract infection, site not specified",Urological,Moderate
10,I25.10,Atherosclerotic heart disease of native coronary artery,Cardiovascular,Severe
11,C34.90,Malignant neoplasm of unspecified part of bronchus or lung,Oncology,Critical
12,G40.909,"Epilepsy, unspecified, not intractable",Neurology,Severe
13,M17.11,"Unspecified primary osteoarthritis, right knee",Musculoskeletal,Moderate
14,R07.9,"Chest pain, unspecified",Cardiovascular,Severe
15,J18.9,"Pneumonia, unspecified organism",Respiratory,Severe
16,E78.5.16,"Hyperlipidemia, unspecified (Variant #16)",Endocrine,Mild
17,C34.90.17,Malignant neoplasm of unspecified part of bronchus or lung (Variant #17),Oncology,Critical
18,I10.18,Essential (primary) hypertension (Variant #18),Cardiovascular,Mild
19,F41.1.19,Generalized anxiety disorder (Variant #19),Mental Health,Moderate
20,E11.9.20,Type 2 diabetes mellitus without complications (Variant #20),Endocrine,Moderate
21,N39.0.21,"Urinary tract infection, site not specified (Variant #21)",Urological,Moderate
22,R07.9.22,"Chest pain, unspecified (Variant #22)",Cardiovascular,Severe
23,G40.909.23,"Epilepsy, unspecified, not intractable (Variant #23)",Neurology,Severe
24,E78.5.24,"Hyperlipidemia, unspecified (Variant #24)",Endocrine,Mild
25,I10.25,Essential (primary) hypertension (Variant #25),Cardiovascular,Mild
26,I25.10.26,Atherosclerotic heart disease of native coronary artery (Variant #26),Cardiovascular,Severe
27,E11.9.27,Type 2 diabetes mellitus without complications (Variant #27),Endocrine,Moderate
28,N39.0.28,"Urinary tract infection, site not specified (Variant #28)",Urological,Moderate
29,J06.9.29,"Acute upper respiratory infection, unspecified (Variant #29)",Respiratory,Mild
30,E78.5.30,"Hyperlipidemia, unspecified (Variant #30)",Endocrine,Mild
31,K21.9.31,Gastro-esophageal reflux disease without esophagitis (Variant #31),Gastrointestinal,Mild
32,J45.909.32,"Unspecified asthma, uncomplicated (Variant #32)",Respiratory,Moderate
33,E78.5.33,"Hyperlipidemia, unspecified (Variant #33)",Endocrine,Mild
34,K21.9.34,Gastro-esophageal reflux disease without esophagitis (Variant #34),Gastrointestinal,Mild
35,C34.90.35,Malignant neoplasm of unspecified part of bronchus or lung (Variant #35),Oncology,Critical
36,J45.909.36,"Unspecified asthma, uncomplicated (Variant #36)",Respiratory,Moderate
37,G40.909.37,"Epilepsy, unspecified, not intractable (Variant #37)",Neurology,Severe
38,I25.10.38,Atherosclerotic heart disease of native coronary artery (Variant #38),Cardiovascular,Severe
39,I10.39,Essential (primary) hypertension (Variant #39),Cardiovascular,Mild
40,C34.90.40,Malignant neoplasm of unspecified part of bronchus or lung (Variant #40),Oncology,Critical
41,C34.90.41,Malignant neoplasm of unspecified part of bronchus or lung (Variant #41),Oncology,Critical
42,I25.10.42,Atherosclerotic heart disease of native coronary artery (Variant #42),Cardiovascular,Severe
43,E11.9.43,Type 2 diabetes mellitus without complications (Variant #43),Endocrine,Moderate
44,E11.9.44,Type 2 diabetes mellitus without complications (Variant #44),Endocrine,Moderate
45,G40.909.45,"Epilepsy, unspecified, not intractable (Variant #45)",Neurology,Severe
46,E78.5.46,"Hyperlipidemia, unspecified (Variant #46)",Endocrine,Mild
47,G40.909.47,"Epilepsy, unspecified, not intractable (Variant #47)",Neurology,Severe
48,R07.9.48,"Chest pain, unspecified (Variant #48)",Cardiovascular,Severe
49,F41.1.49,Generalized anxiety disorder (Variant #49),Mental Health,Moderate
50,I25.10.50,Atherosclerotic heart disease of native coronary artery (Variant #50),Cardiovascular,Severe
51,C34.90.51,Malignant neoplasm of unspecified part of bronchus or lung (Variant #51),Oncology,Critical
52,K21.9.52,Gastro-esophageal reflux disease without esophagitis (Variant #52),Gastrointestinal,Mild
53,E78.5.53,"Hyperlipidemia, unspecified (Variant #53)",Endocrine,Mild
54,I10.54,Essential (primary) hypertension (Variant #54),Cardiovascular,Mild
55,J45.909.55,"Unspecified asthma, uncomplicated (Variant #55)",Respiratory,Moderate
56,I10.56,Essential (primary) hypertension (Variant #56),Cardiovascular,Mild
57,J06.9.57,"Acute upper respiratory infection, unspecified (Variant #57)",Respiratory,Mild
58,N39.0.58,"Urinary tract infection, site not specified (Variant #58)",Urological,Moderate
59,E11.9.59,Type 2 diabetes mellitus without complications (Variant #59),Endocrine,Moderate
60,M54.5.60,"Low back pain, unspecified (Variant #60)",Musculoskeletal,Mild
61,J45.909.61,"Unspecified asthma, uncomplicated (Variant #61)",Respiratory,Moderate
62,J45.909.62,"Unspecified asthma, uncomplicated (Variant #62)",Respiratory,Moderate
63,K21.9.63,Gastro-esophageal reflux disease without esophagitis (Variant #63),Gastrointestinal,Mild
64,J06.9.64,"Acute upper respiratory infection, unspecified (Variant #64)",Respiratory,Mild
65,J18.9.65,"Pneumonia, unspecified organism (Variant #65)",Respiratory,Severe
66,M17.11.66,"Unspecified primary osteoarthritis, right knee (Variant #66)",Musculoskeletal,Moderate
67,J18.9.67,"Pneumonia, unspecified organism (Variant #67)",Respiratory,Severe
68,J18.9.68,"Pneumonia, unspecified organism (Variant #68)",Respiratory,Severe
69,G40.909.69,"Epilepsy, unspecified, not intractable (Variant #69)",Neurology,Severe
70,M54.5.70,"Low back pain, unspecified (Variant #70)",Musculoskeletal,Mild
71,E11.9.71,Type 2 diabetes mellitus without complications (Variant #71),Endocrine,Moderate
72,F41.1.72,Generalized anxiety disorder (Variant #72),Mental Health,Moderate
73,E78.5.73,"Hyperlipidemia, unspecified (Variant #73)",Endocrine,Mild
74,M17.11.74,"Unspecified primary osteoarthritis, right knee (Variant #74)",Musculoskeletal,Moderate
75,J06.9.75,"Acute upper respiratory infection, unspecified (Variant #75)",Respiratory,Mild
76,R07.9.76,"Chest pain, unspecified (Variant #76)",Cardiovascular,Severe
77,I10.77,Essential (primary) hypertension (Variant #77),Cardiovascular,Mild
78,G40.909.78,"Epilepsy, unspecified, not intractable (Variant #78)",Neurology,Severe
79,J45.909.79,"Unspecified asthma, uncomplicated (Variant #79)",Respiratory,Moderate
80,M54.5.80,"Low back pain, unspecified (Variant #80)",Musculoskeletal,Mild
81,E11.9.81,Type 2 diabetes mellitus without complications (Variant #81),Endocrine,Moderate
82,E11.9.82,Type 2 diabetes mellitus without complications (Variant #82),Endocrine,Moderate
83,K21.9.83,Gastro-esophageal reflux disease without esophagitis (Variant #83),Gastrointestinal,Mild
84,E78.5.84,"Hyperlipidemia, unspecified (Variant #84)",Endocrine,Mild
85,F41.1.85,Generalized anxiety disorder (Variant #85),Mental Health,Moderate
86,E11.9.86,Type 2 diabetes mellitus without complications (Variant #86),Endocrine,Moderate
87,I10.87,Essential (primary) hypertension (Variant #87),Cardiovascular,Mild
88,M54.5.88,"Low back pain, unspecified (Variant #88)",Musculoskeletal,Mild
89,J45.909.89,"Unspecified asthma, uncomplicated (Variant #89)",Respiratory,Moderate
90,E11.9.90,Type 2 diabetes mellitus without complications (Variant #90),Endocrine,Moderate
91,F41.1.91,Generalized anxiety disorder (Variant #91),Mental Health,Moderate
92,R07.9.92,"Chest pain, unspecified (Variant #92)",Cardiovascular,Severe
