medication_id,ndc_code,drug_name,generic_name,dosage_form,strength,manufacturer
1,33877-407-01,Amoxicillin,Amoxicillin,Capsule,500mg,Teva
2,91210-618-02,Lysinopril,Lisinopril,Tablet,10mg,Sandoz
3,51054-977-03,Metformin,Metformin HCl,Tablet,850mg,Mylan
4,22579-382-04,Atorvastatin,Atorvastatin Calcium,Tablet,20mg,Pfizer
5,36445-900-05,Albuterol,Albuterol Sulfate,Inhaler,90mcg,GSK
6,71734-763-06,Omeprazole,Omeprazole,Capsule,20mg,AstraZeneca
7,50625-916-07,Levothyroxine,Levothyroxine Sodium,Tablet,50mcg,AbbVie
8,49870-730-08,Gabapentin,Gabapentin,Capsule,300mg,Sun Pharma
9,41752-661-09,Amlodipine,Amlodipine Besylate,Tablet,5mg,Novartis
10,54303-140-10,Metoprolol,Metoprolol Succinate,Tablet,50mg,AstraZeneca
11,96894-576-11,Losartan,Losartan Potassium,Tablet,50mg,Merck
12,81640-159-12,Sertraline,Sertraline HCl,Tablet,50mg,Pfizer
13,48487-641-13,Hydrochlorothiazide,Hydrochlorothiazide,Tablet,25mg,Lupin
14,67723-313-14,Ibuprofen,Ibuprofen,Tablet,800mg,McNeil
15,72873-868-15,Azithromycin,Azithromycin,Tablet,250mg,Pfizer
16,77780-845-16,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
17,90255-733-17,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
18,79864-368-18,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
19,77479-738-19,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
20,49938-246-20,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
21,56382-451-21,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
22,43437-646-22,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
23,20647-715-23,Gabapentin Plus,Gabapentin,Capsule,300mg,Sun Pharma
24,20454-943-24,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
25,72322-491-25,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
26,23182-883-26,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
27,60438-438-27,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
28,37837-940-28,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
29,24753-191-29,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
30,80729-174-30,Lysinopril Plus,Lisinopril,Tablet,10mg,Sandoz
31,82519-970-31,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
32,28509-706-32,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
33,36503-136-33,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
34,37747-660-34,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
35,71317-144-35,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
36,50392-958-36,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
37,19403-485-37,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
38,50113-152-38,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
39,88859-321-39,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
40,85134-421-40,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
41,12585-896-41,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
42,22672-708-42,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
43,76921-326-43,Metformin Plus,Metformin HCl,Tablet,850mg,Mylan
44,12431-468-44,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
45,38528-392-45,Atorvastatin Plus,Atorvastatin Calcium,Tablet,20mg,Pfizer
46,15255-925-46,Azithromycin Plus,Azithromycin,Tablet,250mg,Pfizer
47,90387-233-47,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
48,47885-799-48,Amlodipine Plus,Amlodipine Besylate,Tablet,5mg,Novartis
49,93617-450-49,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
50,22920-353-50,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
51,23919-152-51,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
52,54830-460-52,Omeprazole Plus,Omeprazole,Capsule,20mg,AstraZeneca
53,12543-961-53,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
54,66297-969-54,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
55,15389-782-55,Metoprolol Plus,Metoprolol Succinate,Tablet,50mg,AstraZeneca
56,34540-889-56,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
57,13041-487-57,Albuterol Plus,Albuterol Sulfate,Inhaler,90mcg,GSK
58,84776-738-58,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
59,81283-201-59,Losartan Plus,Losartan Potassium,Tablet,50mg,Merck
60,12807-432-60,Hydrochlorothiazide Plus,Hydrochlorothiazide,Tablet,25mg,Lupin
61,86842-868-61,Ibuprofen Plus,Ibuprofen,Tablet,800mg,McNeil
62,16616-634-62,Amoxicillin Plus,Amoxicillin,Capsule,500mg,Teva
63,12355-512-63,Levothyroxine Plus,Levothyroxine Sodium,Tablet,50mcg,AbbVie
