location_id,location_name,location_type,region,city,state,postal_code,square_feet,opened_date
1,Store #0001 - Washington,Store,South,Washington,DC,20001,115511,2015-04-14
2,Store #0002 - Phoenix,Store,Midwest,Phoenix,AZ,85001,105121,2016-06-17
3,Store #0003 - Denver,Store,South,Denver,CO,80201,89286,2017-05-08
4,Store #0004 - Phoenix,Store,South,Phoenix,AZ,85001,37077,2021-11-30
5,Store #0005 - Jacksonville,Store,East,Jacksonville,FL,32201,20928,2021-04-01
6,Store #0006 - Boston,Store,South,Boston,MA,02101,20978,2013-09-03
7,Store #0007 - Colorado Springs,Store,East,Colorado Springs,CO,80901,59913,2022-04-30
8,Store #0008 - Philadelphia,Store,South,Philadelphia,PA,19101,96826,2020-10-05
9,Store #0009 - Nashville,Store,East,Nashville,TN,37201,97235,2017-10-30
10,Store #0010 - El Paso,Store,South,El Paso,TX,79901,56244,2019-08-11
11,Store #0011 - Seattle,Store,South,Seattle,WA,98101,33830,2018-02-10
12,Store #0012 - Baltimore,Store,East,Baltimore,MD,21201,104458,2015-04-13
13,Store #0013 - Raleigh,Store,Midwest,Raleigh,NC,27601,40786,2014-04-08
14,Store #0014 - Chicago,Store,Midwest,Chicago,IL,60601,44015,2020-01-17
15,Store #0015 - Boston,Store,West,Boston,MA,02101,54258,2014-05-20
16,Store #0016 - Portland,Store,Midwest,Portland,OR,97201,36975,2017-05-14
17,Store #0017 - Memphis,Store,West,Memphis,TN,38101,119669,2023-05-01
18,Store #0018 - Indianapolis,Store,South,Indianapolis,IN,46201,8348,2013-09-05
19,Store #0019 - Las Vegas,Store,West,Las Vegas,NV,89101,65358,2022-02-22
20,Store #0020 - Dallas,Store,East,Dallas,TX,75201,27524,2014-08-21
21,Store #0021 - Houston,Store,Midwest,Houston,TX,77001,105579,2022-03-18
22,Store #0022 - Las Vegas,Store,Midwest,Las Vegas,NV,89101,45793,2020-04-28
23,Store #0023 - Miami,Store,North,Miami,FL,33101,66739,2014-08-14
24,Store #0024 - Sacramento,Store,Midwest,Sacramento,CA,95801,48530,2023-03-28
25,Store #0025 - San Antonio,Store,West,San Antonio,TX,78201,27438,2014-06-10
26,Store #0026 - Houston,Store,East,Houston,TX,77001,41591,2021-09-22
27,Store #0027 - Sacramento,Store,East,Sacramento,CA,95801,106662,2020-06-22
28,Store #0028 - Houston,Store,Midwest,Houston,TX,77001,81759,2022-02-27
29,Store #0029 - Kansas City,Store,West,Kansas City,MO,64101,39500,2014-11-27
30,Store #0030 - Portland,Store,South,Portland,OR,97201,53831,2015-09-01
31,Store #0031 - Jacksonville,Store,South,Jacksonville,FL,32201,116147,2021-10-06
32,Store #0032 - Omaha,Store,East,Omaha,NE,68101,106248,2021-08-18
33,Store #0033 - Washington,Store,Midwest,Washington,DC,20001,14488,2017-04-25
34,Store #0034 - Baltimore,Store,West,Baltimore,MD,21201,95401,2015-09-07
35,Store #0035 - Indianapolis,Store,Midwest,Indianapolis,IN,46201,82581,2016-01-16
36,Store #0036 - Kansas City,Store,East,Kansas City,MO,64101,43563,2014-11-10
37,Store #0037 - Sacramento,Store,East,Sacramento,CA,95801,5530,2021-01-29
38,Store #0038 - Indianapolis,Store,South,Indianapolis,IN,46201,8040,2017-05-09
39,Store #0039 - Omaha,Store,North,Omaha,NE,68101,69305,2016-11-03
40,Store #0040 - Boston,Store,North,Boston,MA,02101,86830,2018-10-01
41,Store #0041 - Colorado Springs,Store,North,Colorado Springs,CO,80901,23850,2022-08-03
42,Store #0042 - Fresno,Store,East,Fresno,CA,93701,18673,2023-04-08
43,Store #0043 - Dallas,Store,South,Dallas,TX,75201,21232,2017-01-18
44,Store #0044 - Atlanta,Store,East,Atlanta,GA,30301,9805,2018-03-06
45,Store #0045 - Charlotte,Store,Midwest,Charlotte,NC,28201,54059,2015-05-03
46,Store #0046 - Milwaukee,Store,North,Milwaukee,WI,53201,99622,2015-08-04
47,Store #0047 - New York,Store,East,New York,NY,10001,16801,2018-12-09
48,Store #0048 - Mesa,Store,Midwest,Mesa,AZ,85201,70364,2021-06-27
49,Store #0049 - Austin,Store,Midwest,Austin,TX,78701,87150,2016-09-13
50,Store #0050 - San Diego,Store,North,San Diego,CA,92101,94325,2021-11-26
51,Store #0051 - Kansas City,Store,West,Kansas City,MO,64101,17687,2015-05-15
52,Store #0052 - San Jose,Store,West,San Jose,CA,95101,33406,2023-03-25
53,Store #0053 - Phoenix,Store,West,Phoenix,AZ,85001,119027,2016-03-15
54,Store #0054 - Baltimore,Store,South,Baltimore,MD,21201,108054,2015-09-24
55,Store #0055 - Boston,Store,West,Boston,MA,02101,110020,2015-06-02
56,Store #0056 - Colorado Springs,Store,Midwest,Colorado Springs,CO,80901,101055,2016-12-02
57,Store #0057 - Omaha,Store,East,Omaha,NE,68101,111661,2016-12-21
58,Store #0058 - Albuquerque,Store,North,Albuquerque,NM,87101,14956,2017-05-20
59,Store #0059 - Columbus,Store,West,Columbus,OH,43201,6335,2022-12-10
60,Store #0060 - Dallas,Store,Midwest,Dallas,TX,75201,21504,2016-12-01
61,Store #0061 - Fort Worth,Store,North,Fort Worth,TX,76101,108265,2017-01-25
62,Store #0062 - Baltimore,Store,West,Baltimore,MD,21201,75016,2019-10-10
63,Store #0063 - Baltimore,Store,East,Baltimore,MD,21201,37612,2016-01-26
64,Store #0064 - Seattle,Store,South,Seattle,WA,98101,30976,2016-08-12
65,Store #0065 - Milwaukee,Store,South,Milwaukee,WI,53201,17949,2015-07-15
66,Store #0066 - Boston,Store,North,Boston,MA,02101,99046,2021-04-25
67,Store #0067 - Nashville,Store,Midwest,Nashville,TN,37201,48516,2021-11-30
68,Store #0068 - San Antonio,Store,West,San Antonio,TX,78201,60522,2013-10-14
69,Store #0069 - Boston,Store,North,Boston,MA,02101,8528,2017-01-15
70,Store #0070 - Philadelphia,Store,Midwest,Philadelphia,PA,19101,86651,2014-08-25
