product_id,sku,product_name,category,subcategory,brand,unit_cost,unit_price,is_active
1,SKU-GRO-000001,Sol Snacks Model-002,Grocery & Pantry,Snacks,Sol,351.67,698.4,1
2,SKU-GRO-000002,Zenith Breakfast Model-003,Grocery & Pantry,Breakfast,Zenith,307.33,401.09,1
3,SKU-GRO-000003,Zenith Organic Foods Model-004,Grocery & Pantry,Organic Foods,Zenith,10.82,20.55,1
4,SKU-BEA-000004,Summit Haircare Model-005,Beauty & Care,Haircare,Summit,407.41,569.39,1
5,SKU-ELE-000005,Summit Smartphones Model-006,Electronics,Smartphones,Summit,364.56,655.01,1
6,SKU-SPO-000006,Titan Camping & Hiking Model-007,Sports & Outdoors,Camping & Hiking,Titan,444.41,788.75,1
7,SKU-APP-000007,Titan Men's Clothing Model-008,Apparel,Men's Clothing,Titan,371.72,607.07,1
8,SKU-HOM-000008,Apex Storage Model-009,Home & Kitchen,Storage,Apex,202.56,465.98,1
9,SKU-APP-000009,Prism Outerwear Model-010,Apparel,Outerwear,Prism,115.41,251,1
10,SKU-AUT-000010,Pulse Car Care Model-011,Automotive,Car Care,Pulse,140.17,200.88,1
11,SKU-TOY-000011,Vortex Board Games Model-012,Toys & Games,Board Games,Vortex,280.73,387.39,1
12,SKU-SPO-000012,Apex Camping & Hiking Model-013,Sports & Outdoors,Camping & Hiking,Apex,244,350.54,1
13,SKU-BEA-000013,Matrix Personal Care Model-014,Beauty & Care,Personal Care,Matrix,259.27,479.81,1
14,SKU-TOY-000014,Pulse Board Games Model-015,Toys & Games,Board Games,Pulse,429.09,914.68,1
15,SKU-SPO-000015,Echo Cycling Model-016,Sports & Outdoors,Cycling,Echo,43.71,84.14,1
16,SKU-GRO-000016,Sol Beverages Model-017,Grocery & Pantry,Beverages,Sol,311.08,737.23,1
17,SKU-APP-000017,Velocity Sportswear Model-018,Apparel,Sportswear,Velocity,216.25,438.62,1
18,SKU-HOM-000018,Zenith Bedding Model-019,Home & Kitchen,Bedding,Zenith,121.27,272.5,1
19,SKU-TOY-000019,Echo Action Figures Model-020,Toys & Games,Action Figures,Echo,96.12,134.05,1
20,SKU-AUT-000020,Apex Car Care Model-021,Automotive,Car Care,Apex,85.83,113.09,1
21,SKU-HOM-000021,Summit Furniture Model-022,Home & Kitchen,Furniture,Summit,264.78,427.06,1
22,SKU-SPO-000022,Matrix Camping & Hiking Model-023,Sports & Outdoors,Camping & Hiking,Matrix,342.71,594.3,1
