date_id,full_date,day_of_week,day_name,day_of_month,month,month_name,quarter,year,is_weekend,is_holiday
20230827,2023-08-27,7,Sunday,27,8,August,3,2023,1,0
20230828,2023-08-28,1,Monday,28,8,August,3,2023,0,0
20230829,2023-08-29,2,Tuesday,29,8,August,3,2023,0,0
20230830,2023-08-30,3,Wednesday,30,8,August,3,2023,0,0
20230831,2023-08-31,4,Thursday,31,8,August,3,2023,0,0
20230901,2023-09-01,5,Friday,1,9,September,3,2023,0,0
20230902,2023-09-02,6,Saturday,2,9,September,3,2023,1,0
20230903,2023-09-03,7,Sunday,3,9,September,3,2023,1,0
20230904,2023-09-04,1,Monday,4,9,September,3,2023,0,0
20230905,2023-09-05,2,Tuesday,5,9,September,3,2023,0,0
20230906,2023-09-06,3,Wednesday,6,9,September,3,2023,0,0
20230907,2023-09-07,4,Thursday,7,9,September,3,2023,0,0
20230908,2023-09-08,5,Friday,8,9,September,3,2023,0,0
20230909,2023-09-09,6,Saturday,9,9,September,3,2023,1,0
20230910,2023-09-10,7,Sunday,10,9,September,3,2023,1,0
20230911,2023-09-11,1,Monday,11,9,September,3,2023,0,0
20230912,2023-09-12,2,Tuesday,12,9,September,3,2023,0,0
20230913,2023-09-13,3,Wednesday,13,9,September,3,2023,0,0
20230914,2023-09-14,4,Thursday,14,9,September,3,2023,0,0
20230915,2023-09-15,5,Friday,15,9,September,3,2023,0,0
20230916,2023-09-16,6,Saturday,16,9,September,3,2023,1,0
20230917,2023-09-17,7,Sunday,17,9,September,3,2023,1,0
20230918,2023-09-18,1,Monday,18,9,September,3,2023,0,0
20230919,2023-09-19,2,Tuesday,19,9,September,3,2023,0,0
20230920,2023-09-20,3,Wednesday,20,9,September,3,2023,0,0
20230921,2023-09-21,4,Thursday,21,9,September,3,2023,0,0
20230922,2023-09-22,5,Friday,22,9,September,3,2023,0,0
20230923,2023-09-23,6,Saturday,23,9,September,3,2023,1,0
20230924,2023-09-24,7,Sunday,24,9,September,3,2023,1,0
20230925,2023-09-25,1,Monday,25,9,September,3,2023,0,0
20230926,2023-09-26,2,Tuesday,26,9,September,3,2023,0,0
20230927,2023-09-27,3,Wednesday,27,9,September,3,2023,0,0
20230928,2023-09-28,4,Thursday,28,9,September,3,2023,0,0
20230929,2023-09-29,5,Friday,29,9,September,3,2023,0,0
20230930,2023-09-30,6,Saturday,30,9,September,3,2023,1,0
20231001,2023-10-01,7,Sunday,1,10,October,4,2023,1,0
20231002,2023-10-02,1,Monday,2,10,October,4,2023,0,0
20231003,2023-10-03,2,Tuesday,3,10,October,4,2023,0,0
20231004,2023-10-04,3,Wednesday,4,10,October,4,2023,0,0
20231005,2023-10-05,4,Thursday,5,10,October,4,2023,0,0
20231006,2023-10-06,5,Friday,6,10,October,4,2023,0,0
20231007,2023-10-07,6,Saturday,7,10,October,4,2023,1,0
20231008,2023-10-08,7,Sunday,8,10,October,4,2023,1,0
20231009,2023-10-09,1,Monday,9,10,October,4,2023,0,0
20231010,2023-10-10,2,Tuesday,10,10,October,4,2023,0,0
20231011,2023-10-11,3,Wednesday,11,10,October,4,2023,0,0
20231012,2023-10-12,4,Thursday,12,10,October,4,2023,0,0
20231013,2023-10-13,5,Friday,13,10,October,4,2023,0,0
20231014,2023-10-14,6,Saturday,14,10,October,4,2023,1,0
20231015,2023-10-15,7,Sunday,15,10,October,4,2023,1,0
20231016,2023-10-16,1,Monday,16,10,October,4,2023,0,0
20231017,2023-10-17,2,Tuesday,17,10,October,4,2023,0,0
20231018,2023-10-18,3,Wednesday,18,10,October,4,2023,0,0
20231019,2023-10-19,4,Thursday,19,10,October,4,2023,0,0
20231020,2023-10-20,5,Friday,20,10,October,4,2023,0,0
20231021,2023-10-21,6,Saturday,21,10,October,4,2023,1,0
20231022,2023-10-22,7,Sunday,22,10,October,4,2023,1,0
20231023,2023-10-23,1,Monday,23,10,October,4,2023,0,0
20231024,2023-10-24,2,Tuesday,24,10,October,4,2023,0,0
20231025,2023-10-25,3,Wednesday,25,10,October,4,2023,0,0
20231026,2023-10-26,4,Thursday,26,10,October,4,2023,0,0
20231027,2023-10-27,5,Friday,27,10,October,4,2023,0,0
20231028,2023-10-28,6,Saturday,28,10,October,4,2023,1,0
20231029,2023-10-29,7,Sunday,29,10,October,4,2023,1,0
20231030,2023-10-30,1,Monday,30,10,October,4,2023,0,0
20231031,2023-10-31,2,Tuesday,31,10,October,4,2023,0,0
20231101,2023-11-01,3,Wednesday,1,11,November,4,2023,0,0
20231102,2023-11-02,4,Thursday,2,11,November,4,2023,0,0
20231103,2023-11-03,5,Friday,3,11,November,4,2023,0,0
20231104,2023-11-04,6,Saturday,4,11,November,4,2023,1,0
20231105,2023-11-05,7,Sunday,5,11,November,4,2023,1,0
20231106,2023-11-06,1,Monday,6,11,November,4,2023,0,0
20231107,2023-11-07,2,Tuesday,7,11,November,4,2023,0,0
20231108,2023-11-08,3,Wednesday,8,11,November,4,2023,0,0
20231109,2023-11-09,4,Thursday,9,11,November,4,2023,0,0
20231110,2023-11-10,5,Friday,10,11,November,4,2023,0,0
20231111,2023-11-11,6,Saturday,11,11,November,4,2023,1,0
20231112,2023-11-12,7,Sunday,12,11,November,4,2023,1,0
20231113,2023-11-13,1,Monday,13,11,November,4,2023,0,0
20231114,2023-11-14,2,Tuesday,14,11,November,4,2023,0,0
20231115,2023-11-15,3,Wednesday,15,11,November,4,2023,0,0
20231116,2023-11-16,4,Thursday,16,11,November,4,2023,0,0
20231117,2023-11-17,5,Friday,17,11,November,4,2023,0,0
20231118,2023-11-18,6,Saturday,18,11,November,4,2023,1,0
20231119,2023-11-19,7,Sunday,19,11,November,4,2023,1,0
20231120,2023-11-20,1,Monday,20,11,November,4,2023,0,0
20231121,2023-11-21,2,Tuesday,21,11,November,4,2023,0,0
20231122,2023-11-22,3,Wednesday,22,11,November,4,2023,0,0
20231123,2023-11-23,4,Thursday,23,11,November,4,2023,0,0
20231124,2023-11-24,5,Friday,24,11,November,4,2023,0,0
20231125,2023-11-25,6,Saturday,25,11,November,4,2023,1,1
20231126,2023-11-26,7,Sunday,26,11,November,4,2023,1,0
20231127,2023-11-27,1,Monday,27,11,November,4,2023,0,0
20231128,2023-11-28,2,Tuesday,28,11,November,4,2023,0,0
20231129,2023-11-29,3,Wednesday,29,11,November,4,2023,0,0
20231130,2023-11-30,4,Thursday,30,11,November,4,2023,0,0
20231201,2023-12-01,5,Friday,1,12,December,4,2023,0,0
20231202,2023-12-02,6,Saturday,2,12,December,4,2023,1,0
20231203,2023-12-03,7,Sunday,3,12,December,4,2023,1,0
20231204,2023-12-04,1,Monday,4,12,December,4,2023,0,0
20231205,2023-12-05,2,Tuesday,5,12,December,4,2023,0,0
20231206,2023-12-06,3,Wednesday,6,12,December,4,2023,0,0
20231207,2023-12-07,4,Thursday,7,12,December,4,2023,0,0
20231208,2023-12-08,5,Friday,8,12,December,4,2023,0,0
20231209,2023-12-09,6,Saturday,9,12,December,4,2023,1,0
20231210,2023-12-10,7,Sunday,10,12,December,4,2023,1,0
20231211,2023-12-11,1,Monday,11,12,December,4,2023,0,0
20231212,2023-12-12,2,Tuesday,12,12,December,4,2023,0,0
20231213,2023-12-13,3,Wednesday,13,12,December,4,2023,0,0
20231214,2023-12-14,4,Thursday,14,12,December,4,2023,0,0
20231215,2023-12-15,5,Friday,15,12,December,4,2023,0,0
20231216,2023-12-16,6,Saturday,16,12,December,4,2023,1,0
20231217,2023-12-17,7,Sunday,17,12,December,4,2023,1,0
20231218,2023-12-18,1,Monday,18,12,December,4,2023,0,0
20231219,2023-12-19,2,Tuesday,19,12,December,4,2023,0,0
20231220,2023-12-20,3,Wednesday,20,12,December,4,2023,0,0
20231221,2023-12-21,4,Thursday,21,12,December,4,2023,0,0
20231222,2023-12-22,5,Friday,22,12,December,4,2023,0,0
20231223,2023-12-23,6,Saturday,23,12,December,4,2023,1,0
20231224,2023-12-24,7,Sunday,24,12,December,4,2023,1,0
20231225,2023-12-25,1,Monday,25,12,December,4,2023,0,1
20231226,2023-12-26,2,Tuesday,26,12,December,4,2023,0,0
20231227,2023-12-27,3,Wednesday,27,12,December,4,2023,0,0
20231228,2023-12-28,4,Thursday,28,12,December,4,2023,0,0
20231229,2023-12-29,5,Friday,29,12,December,4,2023,0,0
20231230,2023-12-30,6,Saturday,30,12,December,4,2023,1,0
20231231,2023-12-31,7,Sunday,31,12,December,4,2023,1,0
20240101,2024-01-01,1,Monday,1,1,January,1,2024,0,1
20240102,2024-01-02,2,Tuesday,2,1,January,1,2024,0,0
20240103,2024-01-03,3,Wednesday,3,1,January,1,2024,0,0
20240104,2024-01-04,4,Thursday,4,1,January,1,2024,0,0
20240105,2024-01-05,5,Friday,5,1,January,1,2024,0,0
20240106,2024-01-06,6,Saturday,6,1,January,1,2024,1,0
20240107,2024-01-07,7,Sunday,7,1,January,1,2024,1,0
20240108,2024-01-08,1,Monday,8,1,January,1,2024,0,0
20240109,2024-01-09,2,Tuesday,9,1,January,1,2024,0,0
20240110,2024-01-10,3,Wednesday,10,1,January,1,2024,0,0
20240111,2024-01-11,4,Thursday,11,1,January,1,2024,0,0
20240112,2024-01-12,5,Friday,12,1,January,1,2024,0,0
20240113,2024-01-13,6,Saturday,13,1,January,1,2024,1,0
20240114,2024-01-14,7,Sunday,14,1,January,1,2024,1,0
20240115,2024-01-15,1,Monday,15,1,January,1,2024,0,0
20240116,2024-01-16,2,Tuesday,16,1,January,1,2024,0,0
20240117,2024-01-17,3,Wednesday,17,1,January,1,2024,0,0
20240118,2024-01-18,4,Thursday,18,1,January,1,2024,0,0
20240119,2024-01-19,5,Friday,19,1,January,1,2024,0,0
20240120,2024-01-20,6,Saturday,20,1,January,1,2024,1,0
20240121,2024-01-21,7,Sunday,21,1,January,1,2024,1,0
20240122,2024-01-22,1,Monday,22,1,January,1,2024,0,0
20240123,2024-01-23,2,Tuesday,23,1,January,1,2024,0,0
20240124,2024-01-24,3,Wednesday,24,1,January,1,2024,0,0
20240125,2024-01-25,4,Thursday,25,1,January,1,2024,0,0
20240126,2024-01-26,5,Friday,26,1,January,1,2024,0,0
20240127,2024-01-27,6,Saturday,27,1,January,1,2024,1,0
20240128,2024-01-28,7,Sunday,28,1,January,1,2024,1,0
20240129,2024-01-29,1,Monday,29,1,January,1,2024,0,0
20240130,2024-01-30,2,Tuesday,30,1,January,1,2024,0,0
20240131,2024-01-31,3,Wednesday,31,1,January,1,2024,0,0
20240201,2024-02-01,4,Thursday,1,2,February,1,2024,0,0
20240202,2024-02-02,5,Friday,2,2,February,1,2024,0,0
20240203,2024-02-03,6,Saturday,3,2,February,1,2024,1,0
20240204,2024-02-04,7,Sunday,4,2,February,1,2024,1,0
20240205,2024-02-05,1,Monday,5,2,February,1,2024,0,0
20240206,2024-02-06,2,Tuesday,6,2,February,1,2024,0,0
20240207,2024-02-07,3,Wednesday,7,2,February,1,2024,0,0
20240208,2024-02-08,4,Thursday,8,2,February,1,2024,0,0
20240209,2024-02-09,5,Friday,9,2,February,1,2024,0,0
20240210,2024-02-10,6,Saturday,10,2,February,1,2024,1,0
20240211,2024-02-11,7,Sunday,11,2,February,1,2024,1,0
20240212,2024-02-12,1,Monday,12,2,February,1,2024,0,0
20240213,2024-02-13,2,Tuesday,13,2,February,1,2024,0,0
20240214,2024-02-14,3,Wednesday,14,2,February,1,2024,0,0
20240215,2024-02-15,4,Thursday,15,2,February,1,2024,0,0
20240216,2024-02-16,5,Friday,16,2,February,1,2024,0,0
20240217,2024-02-17,6,Saturday,17,2,February,1,2024,1,0
20240218,2024-02-18,7,Sunday,18,2,February,1,2024,1,0
20240219,2024-02-19,1,Monday,19,2,February,1,2024,0,0
20240220,2024-02-20,2,Tuesday,20,2,February,1,2024,0,0
20240221,2024-02-21,3,Wednesday,21,2,February,1,2024,0,0
20240222,2024-02-22,4,Thursday,22,2,February,1,2024,0,0
20240223,2024-02-23,5,Friday,23,2,February,1,2024,0,0
20240224,2024-02-24,6,Saturday,24,2,February,1,2024,1,0
20240225,2024-02-25,7,Sunday,25,2,February,1,2024,1,0
20240226,2024-02-26,1,Monday,26,2,February,1,2024,0,0
20240227,2024-02-27,2,Tuesday,27,2,February,1,2024,0,0
20240228,2024-02-28,3,Wednesday,28,2,February,1,2024,0,0
20240229,2024-02-29,4,Thursday,29,2,February,1,2024,0,0
20240301,2024-03-01,5,Friday,1,3,March,1,2024,0,0
20240302,2024-03-02,6,Saturday,2,3,March,1,2024,1,0
20240303,2024-03-03,7,Sunday,3,3,March,1,2024,1,0
20240304,2024-03-04,1,Monday,4,3,March,1,2024,0,0
20240305,2024-03-05,2,Tuesday,5,3,March,1,2024,0,0
20240306,2024-03-06,3,Wednesday,6,3,March,1,2024,0,0
20240307,2024-03-07,4,Thursday,7,3,March,1,2024,0,0
20240308,2024-03-08,5,Friday,8,3,March,1,2024,0,0
20240309,2024-03-09,6,Saturday,9,3,March,1,2024,1,0
20240310,2024-03-10,7,Sunday,10,3,March,1,2024,1,0
20240311,2024-03-11,1,Monday,11,3,March,1,2024,0,0
