warehouse_inventory_id,location_id,product_id,quantity_on_hand,quantity_reserved,reorder_point,last_received_date
1,1277,1100,2812,482,1491,2026-08-02
2,1258,7279,14089,1748,1443,2026-07-26
3,1268,1006,19110,4643,1878,2026-08-13
4,1286,1227,505,69,1970,2026-07-19
5,1282,8463,14237,1653,673,2026-07-31
6,1299,6364,13048,2674,520,2026-07-24
7,1283,2248,10696,1027,1673,2026-06-27
8,1273,9231,6086,661,813,2026-06-02
9,1291,4288,4913,413,1231,2026-07-24
10,1257,8903,1679,314,716,2026-06-23
11,1269,1320,3378,460,1373,2026-08-26
12,1288,9583,9443,1106,1169,2026-07-21
13,1284,4028,10424,2570,1920,2026-06-17
14,1257,7742,627,53,1489,2026-06-20
15,1293,4102,6689,1138,1369,2026-07-13
16,1285,5121,15064,2209,1606,2026-07-19
17,1272,4195,1897,452,1982,2026-07-16
18,1293,2847,6084,898,1431,2026-06-08
19,1300,2054,7511,1875,770,2026-08-26
20,1266,1632,13567,1640,1766,2026-06-27
21,1258,587,4969,705,1257,2026-08-25
22,1260,8615,12639,2175,1111,2026-06-23
23,1295,7375,14887,3551,1440,2026-07-05
24,1264,3419,2430,282,1664,2026-05-31
25,1262,7523,4410,1047,1755,2026-07-10
26,1296,7460,3512,287,1159,2026-07-12
27,1290,4103,3936,575,1101,2026-06-06
28,1295,9373,10616,1590,1157,2026-07-02
29,1285,7561,4098,836,1387,2026-07-05
30,1251,546,19084,2805,1479,2026-08-15
31,1286,1682,3804,604,1651,2026-07-05
32,1254,1547,9347,1360,1907,2026-07-07
33,1267,7703,3277,613,825,2026-07-01
34,1298,9534,9451,1312,1652,2026-06-28
35,1278,7629,17567,1778,1480,2026-07-31
36,1254,20,16567,3524,1911,2026-07-29
37,1278,8673,13673,1818,1720,2026-08-21
38,1262,3738,9978,848,1167,2026-08-16
39,1275,8377,7785,1050,1243,2026-07-05
40,1294,5577,17337,3257,1921,2026-07-03
41,1288,1069,7050,1602,664,2026-08-08
42,1267,7121,13273,1267,1399,2026-08-13
43,1253,8072,13524,867,730,2026-06-09
44,1278,5889,4457,554,718,2026-08-13
45,1299,2717,11823,1950,1130,2026-08-03
46,1289,145,19856,2125,1129,2026-07-14
47,1298,5420,9482,1331,1555,2026-06-11
48,1285,624,9858,564,1384,2026-07-31
49,1285,3701,15027,1912,773,2026-07-25
50,1271,6231,3782,550,965,2026-07-02
51,1263,7272,18193,2182,1063,2026-06-26
52,1274,2526,7758,1766,940,2026-06-03
53,1263,4586,15660,1528,1909,2026-08-03
54,1279,8479,8065,678,1328,2026-07-30
55,1274,7199,5146,1203,1240,2026-06-12
56,1287,4562,16924,3501,1734,2026-05-31
57,1282,2100,2824,609,1136,2026-08-26
58,1254,5570,15320,1047,828,2026-06-21
59,1295,5396,1235,148,1169,2026-06-24
60,1257,7254,18313,3125,1046,2026-07-02
61,1291,3928,9709,529,1165,2026-06-18
62,1287,6162,18216,1299,1366,2026-08-26
63,1268,3664,15218,1379,1351,2026-07-30
64,1290,4027,10754,1646,1602,2026-06-27
65,1270,9602,9570,1036,1264,2026-06-28
66,1276,9881,11236,677,1230,2026-06-20
67,1282,117,10000,2285,1897,2026-08-03
68,1272,2862,13523,1106,867,2026-08-19
69,1297,9039,6284,1361,504,2026-08-18
70,1283,2951,6312,620,1524,2026-08-09
71,1282,3650,9233,2200,1029,2026-07-03
72,1251,209,15199,2128,1852,2026-06-12
73,1276,7057,7096,1384,1143,2026-05-30
74,1260,4926,14037,911,1604,2026-08-02
75,1257,5452,10882,1619,893,2026-06-11
76,1300,2958,8323,1404,547,2026-08-05
77,1264,1603,14885,3560,1488,2026-07-25
